adw-gtk-theme 5.6-1
alacritty 0.15.0-1
alsa-utils 1.2.13-2
amd-ucode 20250109.7673dffd-1
android-platform-33 33_r03-1
android-sdk 26.1.1-2
android-sdk-platform-tools 35.0.2-1
android-udev 20241109-1
apple_cursor 2.0.1-1
arch-install-scripts 29-1
aria2 1.37.0-1
audacious 4.4.2-1
auto-cpufreq 2.5.0-1
base 3-2
base-devel 1-2
bat 0.25.0-4
bc 1.08.1-1
bear 3.1.5-7
bibata-cursor-git 1.0.0.r0.f4ccfe8-1
bitwig-studio 5.2.7-1
blas-openblas 0.3.28-1
blender 17:4.3.2-7
blueberry 1.4.8-2
blueman 2.4.4-1
bottles 2:51.17-3
brightnessctl 0.5.1-3
brother-dcpt525w 3.5.0-1
brscan-skey 0.3.2_0-1
brscan5 1.3.5_0-0
btop 1.4.0-4
btrfs-progs 6.12-2
bun-bin 1.2.2-1
catppuccin-cursors-mocha 1.0.2-1
cavalier 2024.1.0-1
ccache 4.10.2-3
chntpw 140201-5
clang 19.1.7-1
clinfo 3.0.23.01.25-1
cliphist 1:0.6.1-1
cloudflare-warp-bin 2024.12.554-1
cmake 3.31.5-1
coppwr 1.6.1-1
cpio 2.15-2
cups 2:2.4.11-2
cups-browsed 2.1.1-1
dart-sass 1.83.4-1
dash 0.5.12-1
deadbeef 1.9.6-2
deadbeef-debug 1.9.6-2
deadbeef-mpris2-plugin 1.16-1
deadbeef-plugin-discord-git r73.gb2a9fee-1
deluge 1:2.1.1-8
deluge-gtk 1:2.1.1-8
dialog 1:1.3_20240619-2
dosfstools 4.2-5
dunst 1.12.1-1
efibootmgr 18-3
emacs 29.4-3
eslint 9.19.0-1
eww 0.6.0-1
eza 0.20.19-1
fasm 1.73.32-1
fastfetch 2.35.0-1
fcitx5-configtool 5.1.7-1
fcitx5-qt 5.1.8-6
feh 3.10.3-1
ffmpeg-audio-thumbnailer 1.2.0-1
ffmpeg4.4 4.4.5-2
flatpak 1:1.16.0-1
flax 1.9.6505-1
font-manager 0.9.2-2
foot 1.20.2-1
foot-terminfo 1.20.2-1
fuzzel 1.11.1-2
gamescope 3.16.1-1
gcc-fortran 14.2.1+r730+gc061ad5a36ba-1
gdb 16.2-1
ghidra 11.0.3-1
git 2.48.1-1
git-lfs 3.6.0-1
github-cli 2.66.1-1
glfw 3.4-2
glm 1.0.1-1
gnome-control-center 47.4-1
gnome-settings-daemon 47.2-1
gparted 1.7.0-1
gperf 3.1-5
grimblast-git r115.d449f6e-1
grub 2:2.12-3
gst-libav 1.24.12-1
gst-plugin-gtk4 0.13.4-1
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad 1.24.12-1
gst-plugins-base 1.24.12-1
